"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.14516363033431","2.01995717690785","1.97215319686033","0","1.90643230258894","1.89057360003025","0","1.88299094281357","1.8828845791753","0","0","1.86205869208997","1.84969387566358","0","","","",
"Afghanistan","AFG","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.616658294342429","","","","","",
"Angola","AGO","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.05299381497981","","","","","",
"Albania","ALB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.841784090151191","2.52844828480441","2.52812539501959","1.3609162984632","1.23283440308754","1.3679248970148","1.50882498614177","1.58977141074328","1.27254753299917","0.473767173214016","1.29682033305076","1.5254130664221","1.79181704720955","1.65926537962911","0.898195732050249","0.967193487748077","1.03495544208961","",
"Andorra","AND","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2.43146231829008","0","0","0","0","0","0","0","","",
"Arab World","ARB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.850867064864553","0.672657805521175","0.741619702733171","0.779072607886701","0.68055545225327","0.399180748044763","","",
"Argentina","ARG","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.94608872592258","1.74710351084082","","",
"Armenia","ARM","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5873222310737","1.13510006453574","1.21690630034803","0.67875936006925","1.3839036903679","0.69647406837096","1.65798456671443","0.835311307673427","1.70598714959024","1.62736472367998","0.653185783019521","1.24203301193005","1.24020078197923","1.23651225448724","1.29724148085304","1.3581728048532","1.03325730603472","",
"American Samoa","ASM","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73012518691531","2.75015400862448","","","","","","10.3947942870211","","","","","","","","","",
"Australia","AUS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.42391902419395","1.2020266234116","1.24163840940892","1.10246167070441","1.06315457610152","0.959203289202133","0.896141659090419","0.833540608301554","0.940482640701136","0.683267874964707","0.844627113366985","0.800501647699225","0.726661472058553","0.810579895755976","0.798763106831591","0.706634023435148","0.661250104238178","",
"Austria","AUT","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29003093120456","1.00392541384152","0.900815978862313","0.556785091700555","0.755686948914952","0.570047189245275","0.684519042525484","0.5676814925489","0.677571518257866","0.655327877482471","0.695845316369552","0.807654907057381","0.871697785130625","0.68397347550862","0.521479987411927","0.38374622546084","0.720625715387729","",
"Azerbaijan","AZE","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.36043226638141","","1.24316846776057","1.48247638785733","1.82100142100904","","1.80329818301849","",
"Burundi","BDI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98640195232594","2.02798056478861","1.50463108085559","2.29440483114793","",
"Belgium","BEL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58806729057956","1.95291353329902","2.49926099437838","1.77421355663373","2.36818604617696","1.71603061838022","1.62339267249384","1.60389384776328","1.30071000569186","1.37797002834449","1.24778800902531","1.64755688064871","1.36970101097298","1.74017704095139","1.40628298472697","","","",
"Benin","BEN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.39234119237844","","",
"Burkina Faso","BFA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.189058584850636","","",
"Bangladesh","BGD","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0462678623061","","",
"Bulgaria","BGR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37335763252345","1.52056825485514","1.40394064667488","1.29526457495779","1.43780974796707","1.31821743540291","1.37953938712685","0.978367521699805","0.934024165280765","0.914811211717111","0.710630105186415","0.794692513599176","0.986035341105602","0.911327071801584","0.700928595595203","0.786485041054519","0.600608441322888","",
"Bahrain","BHR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.347169143841373","","","","","","",
"Bahamas, The","BHS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7627049004486","3.31636587999383","7.71237298222264","3.70626606048626","1.21055116394494","4.74695749692931","2.90985276145027","4.56905266404327","3.92585737920978","5.51182838371144","7.59050319614402","8.54139641154583","5.26138563852176","","","","","",
"Bosnia and Herzegovina","BIH","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04323586728371","1.51126124130829","1.30143939196752","","","","","","","0.786859653613889","0.527962755395383","0.852221127946621","1.29236326392804","0.762790636853903","0.605825619153783","0.999745620281062","0.834905082281486","",
"Belarus","BLR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.34805047504071","3.52845614936784","3.90166311346017","2.68265317555125","2.30869911908329","2.48571552011723","2.03095610906668","2.28650904472017","","","",
"Belize","BLZ","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1985066472409","","","","","5.74111403128269","10.0318530776792","7.28770018401443","8.30663344013291","5.80059862177777","6.80785399422467","4.99497727285341","8.14937165982233","",
"Bermuda","BMU","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.93222563975067","0","","","","2.96697294450302","0","6.00132936727568","0","0","3.05833832275941","0","0","",
"Bolivia","BOL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.86628831145546","","","","","","","4.50131331886314","4.3048004918747","",
"Brazil","BRA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.87197363218574","3.92989675837745","3.89643255859004","3.91071164761971","3.75992558399885","3.76563829710605","3.85555072548455","3.64927174216747","3.77626554940956","3.73656435509081","3.7041373151447","4.12728620634295","4.36920948739957","4.42613761776422","4.46129771209202","4.44089786908532","","",
"Barbados","BRB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.56623206185273","3.17361018723792","5.31511547974232","7.77192920479034","0.619766319926191","6.42754001420708","1.06398210807687","4.17804022060052","2.77348273160314","2.07140835053753","5.50126873010088","1.37002253687073","1.36482438122275","4.76009139375476","2.03318152244632","2.02654777586382","","",
"Brunei Darussalam","BRN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.215864601318","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.542087688104428","1.0711510148208","",
"Botswana","BWA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.47080652617027","","","","","","","",
"Central African Republic","CAF","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3765669498157","",
"Canada","CAN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96062637481591","1.03674701257131","1.310029242131","0.980522740121895","1.24119226695017","1.10554496518547","0.984281211329368","0.997347356437706","0.873186578587683","0.951446454091211","0.896555892879814","1.0285630227571","0.892724787675076","0.849890628644399","0.839897402546369","0.9689391147381","0.825854881107899","",
"Central Europe and the Baltics","CEB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05672985298591","0.996594797812237","1.33131583902239","1.05768658025941","1.02351468932059","0.991234578702836","0.987275638107022","0.676692269344638","0.645485482900001","0.686581252568322","0.653932916040295","0.571954485354111","0.417877076295997","0.777611779263232","0.576862617283381","0.713829373364885","0.589883480578012","",
"Channel Islands","CHI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01718029778137","1.1035244144469","1.33216071186828","1.22364471250052","1.16866879261422","1.11848495620258","1.32750202097753","0.423299551359678","1.22488267495322","1.38323567839388","0.747253203178927","0.995812494506702","",
"China","CHN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.506218432051177","","","",
"Cote d'Ivoire","CIV","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.51182488692699","","",
"Cameroon","CMR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53004691093006","","","","","",
"Congo, Dem. Rep.","COD","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.14222338456853","","",
"Congo, Rep.","COG","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5058321488467","","",
